"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","Get last 100 users","","Thu Apr 30 11:17:50 UTC 2026","passed","Thu Apr 30 11:17:50 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","listLastUsers"
"","650","Create new duplicate user","","Thu Apr 30 11:17:42 UTC 2026","passed","Thu Apr 30 11:17:42 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_duplicateUser_shouldFail"
"","706","Create new user","","Thu Apr 30 11:17:39 UTC 2026","passed","Thu Apr 30 11:17:40 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createNewUser"
"","312","Create new user with null login","","Thu Apr 30 11:17:41 UTC 2026","passed","Thu Apr 30 11:17:41 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_nullLogin_shouldFail"
"","332","Create new user with empty login","","Thu Apr 30 11:17:38 UTC 2026","passed","Thu Apr 30 11:17:38 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyLogin_shouldFail"
"","313","Get profile without token","","Thu Apr 30 11:17:50 UTC 2026","passed","Thu Apr 30 11:17:50 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_withoutToken_shouldFail"
"","3038","Login user with error password","","Thu Apr 30 11:17:34 UTC 2026","passed","Thu Apr 30 11:17:37 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_errorPassword_shouldFail"
"","971","Change password with empty password","","Thu Apr 30 11:17:47 UTC 2026","passed","Thu Apr 30 11:17:48 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_emptyPassword_shouldFail"
"","996","Change password","","Thu Apr 30 11:17:48 UTC 2026","passed","Thu Apr 30 11:17:49 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword"
"","1005","Delete user","","Thu Apr 30 11:17:42 UTC 2026","passed","Thu Apr 30 11:17:43 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteMyUser"
"","680","Login user with empty login","","Thu Apr 30 11:17:41 UTC 2026","passed","Thu Apr 30 11:17:42 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyLogin_shouldFail"
"","294","Get profile","","Thu Apr 30 11:17:49 UTC 2026","passed","Thu Apr 30 11:17:50 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_withoutToken_shouldFail"
"","307","Get profile with invalid token","","Thu Apr 30 11:17:45 UTC 2026","passed","Thu Apr 30 11:17:45 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_invalidToken_shouldFail"
"","675","Login user with empty password","","Thu Apr 30 11:17:38 UTC 2026","passed","Thu Apr 30 11:17:39 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyPassword_shouldFail"
"","692","Login user","","Thu Apr 30 11:17:40 UTC 2026","passed","Thu Apr 30 11:17:41 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login"
"","299","Delete user without token","","Thu Apr 30 11:17:42 UTC 2026","passed","Thu Apr 30 11:17:42 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_withoutToken_shouldFail"
"","1275","Delete user twice","","Thu Apr 30 11:17:45 UTC 2026","passed","Thu Apr 30 11:17:46 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_twice_shouldFail"
"","863","Create new user with empty password","","Thu Apr 30 11:17:37 UTC 2026","passed","Thu Apr 30 11:17:38 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyPassword_shouldFail"
"","1260","Get deleted profile","","Thu Apr 30 11:17:43 UTC 2026","passed","Thu Apr 30 11:17:45 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_deletedUser_shouldFail"
"","990","Get profile","","Thu Apr 30 11:17:46 UTC 2026","passed","Thu Apr 30 11:17:47 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getMyUser"
