"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","706","Login user with empty login","","Thu Apr 30 11:45:22 UTC 2026","passed","Thu Apr 30 11:45:22 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyLogin_shouldFail"
"","684","Login user with empty password","","Thu Apr 30 11:45:19 UTC 2026","passed","Thu Apr 30 11:45:20 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyPassword_shouldFail"
"","1000","Create new user with empty password","","Thu Apr 30 11:45:18 UTC 2026","passed","Thu Apr 30 11:45:19 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyPassword_shouldFail"
"","302","Get last 100 users","","Thu Apr 30 11:45:31 UTC 2026","passed","Thu Apr 30 11:45:31 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","listLastUsers"
"","685","Login user","","Thu Apr 30 11:45:21 UTC 2026","passed","Thu Apr 30 11:45:21 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login"
"","819","Create new user","","Thu Apr 30 11:45:20 UTC 2026","passed","Thu Apr 30 11:45:21 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createNewUser"
"","300","Get profile with invalid token","","Thu Apr 30 11:45:26 UTC 2026","passed","Thu Apr 30 11:45:26 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_invalidToken_shouldFail"
"","308","Get profile","","Thu Apr 30 11:45:30 UTC 2026","passed","Thu Apr 30 11:45:31 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_withoutToken_shouldFail"
"","967","Change password with empty password","","Thu Apr 30 11:45:28 UTC 2026","passed","Thu Apr 30 11:45:29 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_emptyPassword_shouldFail"
"","322","Create new user with null login","","Thu Apr 30 11:45:21 UTC 2026","passed","Thu Apr 30 11:45:22 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_nullLogin_shouldFail"
"","675","Create new duplicate user","","Thu Apr 30 11:45:22 UTC 2026","passed","Thu Apr 30 11:45:23 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_duplicateUser_shouldFail"
"","308","Delete user without token","","Thu Apr 30 11:45:23 UTC 2026","passed","Thu Apr 30 11:45:23 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_withoutToken_shouldFail"
"","324","Create new user with empty login","","Thu Apr 30 11:45:19 UTC 2026","passed","Thu Apr 30 11:45:19 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyLogin_shouldFail"
"","292","Get profile without token","","Thu Apr 30 11:45:31 UTC 2026","passed","Thu Apr 30 11:45:31 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_withoutToken_shouldFail"
"","956","Change password","","Thu Apr 30 11:45:29 UTC 2026","passed","Thu Apr 30 11:45:30 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword"
"","3900","Login user with error password","","Thu Apr 30 11:45:14 UTC 2026","passed","Thu Apr 30 11:45:18 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_errorPassword_shouldFail"
"","1019","Delete user","","Thu Apr 30 11:45:23 UTC 2026","passed","Thu Apr 30 11:45:24 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteMyUser"
"","1289","Delete user twice","","Thu Apr 30 11:45:26 UTC 2026","passed","Thu Apr 30 11:45:27 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_twice_shouldFail"
"","981","Get profile","","Thu Apr 30 11:45:27 UTC 2026","passed","Thu Apr 30 11:45:28 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getMyUser"
"","1304","Get deleted profile","","Thu Apr 30 11:45:24 UTC 2026","passed","Thu Apr 30 11:45:26 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_deletedUser_shouldFail"
